selection_authority,primary_model_source,game_id,game_date_local,away_team,home_team,away_team_id,home_team_id,tip_time_cst,season_type,spread_home_last,spread_away_last,total_last,moneyline_home_last,moneyline_away_last,projected_margin_home,projected_total,spread_pick,total_pick,confidence_tier,cluster_alignment,arbitration_cluster,confidence_reason,actionability,spread_edge,total_edge,parlay_edge_score
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401856433,2026-03-10,Monmouth,Hofstra,monmouth,hofstra,,2,-5.5,5.5,136.5,-225.0,185.0,-6.0,99.5,Hofstra,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-0.5,-37.0,37.5
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401856432,2026-03-10,Towson,Hofstra,towson,hofstra,,2,-1.5,1.5,117.5,-160.0,125.0,-12.5,147.5,Hofstra,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-11.0,30.0,41.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851283,2026-03-10,Utah,Cincinnati,utah,cincinnati,,2,-11.5,11.5,138.5,-700.0,500.0,-0.5,158.0,Utah,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,11.0,19.5,30.5
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851170,2026-03-10,Pittsburgh,Stanford,pittsburgh,stanford,,2,-5.5,5.5,138.5,-210.0,170.0,-3.75,154.25,Pittsburgh,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,1.75,15.75,17.5
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851716,2026-03-10,Alcorn,Prairie View,alcorn,prairie_view,,2,0.0,0.0,145.5,-250.0,200.0,-11.25,132.75,,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,0.0,-12.75,12.75
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851204,2026-03-10,NJIT,Vermont,njit,vermont,,2,-11.5,11.5,137.5,-750.0,525.0,-9.0,126.0,NJIT,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,2.5,-11.5,14.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851171,2026-03-10,Syracuse,SMU,syracuse,smu,,2,-5.5,5.5,155.5,-210.0,170.0,5.5,154.5,Syracuse,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,11.0,-1.0,12.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851363,2026-03-10,Penn,Northwestern,penn,northwestern,,2,-6.5,6.5,143.5,-250.0,200.0,-0.6667,135.3333,Penn,UNDER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,5.8333,-8.1667,14.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851285,2026-03-10,Kansas,BYU,kansas,byu,,2,-10.5,10.5,166.5,-475.0,360.0,-3.0,173.5,Kansas,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,7.5,7.0,14.5
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851202,2026-03-10,UMass Lowell,UMBC,umass_lowell,umbc,,2,-8.0,8.0,147.5,0.0,0.0,-5.0,155.0,UMass Lowell,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,3.0,7.5,10.5
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851405,2026-03-10,Missouri,Florida,missouri,florida,,2,1.5,-1.5,153.5,-110.0,-110.0,-4.875,150.575,Florida,UNDER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-6.375,-2.925,9.3
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851362,2026-03-10,Maryland,Oregon,maryland,oregon,,2,-3.5,3.5,138.5,-175.0,145.0,-8.4167,144.0833,Oregon,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-4.9167,5.5833,10.5
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851282,2026-03-10,Baylor,Arizona,baylor,arizona,,2,3.5,-3.5,154.5,140.0,-170.0,6.0,159.0,Baylor,OVER,LOW,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,2.5,4.5,7.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851433,2026-03-10,Detroit Mercy,Robert Morris,detroit_mercy,robert_morris,,2,-6.5,6.5,143.5,-375.0,275.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851715,2026-03-10,Mississippi Val.,Grambling,mississippi_val,grambling,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851759,2026-03-10,Oregon,Gonzaga,oregon,gonzaga,,2,-16.5,16.5,129.5,0.0,0.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
